,w0,w1,w2
0,0.15492952,0.05807266,0.10286817
1,0.21877709,0.08612302,0.1451985
2,0.28924617,0.11580998,0.190747
3,0.36785606,0.14736004,0.24007027
4,0.45661312,0.1810439,0.29385945
5,0.5582205,0.21718678,0.35298216
6,0.6764022,0.25618127,0.4185399
7,0.8164186,0.29850218,0.49194676
8,0.9859127,0.34472293,0.5750369
9,1.1963514,0.39553094,0.6702108
10,1.4655832,0.45173615,0.7806296
11,1.8226128,0.5142629,0.9104663
12,2.317091,0.5841109,1.0652204
13,3.0398033,0.6622789,1.2521204
14,4.172075,0.7496837,1.4807466
15,6.123727,0.8471894,1.7643204
16,9.99957,0.9558969,2.1226578
17,19.646229,1.0776,2.5880773
18,54.987656,1.2149622,3.2156677
19,322.65366,1.371506,4.10378
